IncomeBucket,Year-1,GII,Year,Country,Code,Country-1,Country-2,Region,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Agriculture-1,Arable-1,Area-1,Birthrate-1,EducationIndexBucket,Date,GIvsEI,Climate-1,Coastline-1,Country (Sheet1),Country-3,Country-4,Crops-1,Deathrate-1,EI,GDP-1,GII-1,HDI Rank (2015),HDI Rank,Industry-1,Infant mortality-1,Literacy-1,Net migration-1,Number of Records,Other-1,Phones-1,Pop. Density-1,Population-1,Region-1,Service-1,Year-2,Year-3
L,1995,0.66,1995,Cambodia,KHM,Cambodia,Cambodia,ASIA (EX. NEAR EAST),13881427,181040,76.68,0.24,0,71.48,1900,69.4,2.62,20.96,0.61,78.43,2,26.9,9.06,0.35,0.3,0.35,0.35,20.96,181040,26.9,"Low (
0.206 - 0.498)",1/1/1995,2.222222222,2,0.24,Cambodia,Cambodia,Cambodia,0.61,9.06,0.297,1900,0.66,143,143,0.3,71.48,69.4,0,1,78.43,2.62,76.68,13881427,ASIA (EX. NEAR EAST),0.35,1995,1995
L,1995,0.703,1995,Cameroon,CMR,Cameroon,Cameroon,SUB-SAHARAN AFRICA,17340702,475440,36.47,0.08,0,68.26,1800,79,5.73,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382,0.448,12.81,475440,33.89,"Low (
0.206 - 0.498)",1/1/1995,2.037681159,1.5,0.08,Cameroon,Cameroon,Cameroon,2.58,13.47,0.345,1800,0.703,153,153,0.17,68.26,79,0,1,84.61,5.73,36.47,17340702,SUB-SAHARAN AFRICA,0.382,1995,1995
H,1995,0.184,1995,Canada,CAN,Canada,Canada,NORTHERN AMERICA,33098932,9984670,3.31,2.02,5.96,4.75,29800,97,552.16,4.96,0.02,95.02,,10.78,7.8,0.022,0.294,0.684,0.022,4.96,9984670,10.78,High (0.780 - 0.939),1/1/1995,0.223844282,,2.02,Canada,Canada,Canada,0.02,7.8,0.822,29800,0.184,10,10,0.294,4.75,97,5.96,1,95.02,552.16,3.31,33098932,NORTHERN AMERICA,0.684,1995,1995
L,1995,,1995,Chad,TCD,Chad,Chad,SUB-SAHARAN AFRICA,9944201,1284000,7.74,0,-0.11,93.82,1200,47.5,1.31,2.86,0.02,97.12,2,45.73,16.38,0.335,0.259,0.406,0.335,2.86,1284000,45.73,,1/1/1995,,2,0,Chad,Chad,Chad,0.02,16.38,,1200,,186,186,0.259,93.82,47.5,-0.11,1,97.12,1.31,7.74,9944201,SUB-SAHARAN AFRICA,0.406,1995,1995
UM,1995,0.476,1995,Chile,CHL,Chile,Chile,LATIN AMER. & CARIB,16134219,756950,21.31,0.85,0,8.8,9900,96.2,212.96,2.65,0.42,96.93,3,15.23,5.81,0.06,0.493,0.447,0.06,2.65,756950,15.23,Low-Medium (0.498 - 0.659),1/1/1995,0.759170654,3,0.85,Chile,Chile,Chile,0.42,5.81,0.627,9900,0.476,38,38,0.493,8.8,96.2,0,1,96.93,212.96,21.31,16134219,LATIN AMER. & CARIB,0.447,1995,1995
L,1995,,1995,China,CHN,China,China,ASIA (EX. NEAR EAST),1313973713,9596960,136.92,0.15,-0.4,24.18,5000,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403,0.125,15.4,9596960,13.25,"Low (
0.206 - 0.498)",1/1/1995,,1.5,0.15,China,China,China,1.25,6.97,0.442,5000,,90,90,0.473,24.18,90.9,-0.4,1,83.35,266.7,136.92,1313973713,ASIA (EX. NEAR EAST),0.403,1995,1995
LM,1995,0.538,1995,Colombia,COL,Colombia,Colombia,LATIN AMER. & CARIB,43593035,1138910,38.28,0.28,-0.31,20.97,6300,92.5,176.15,2.42,1.67,95.91,2,20.48,5.58,0.125,0.342,0.533,0.125,2.42,1138910,20.48,"Low (
0.206 - 0.498)",1/1/1995,1.120833333,2,0.28,Colombia,Colombia,Colombia,1.67,5.58,0.48,6300,0.538,95,95,0.342,20.97,92.5,-0.31,1,95.91,176.15,38.28,43593035,LATIN AMER. & CARIB,0.533,1995,1995
UM,1995,0.28,1995,Croatia,HRV,Croatia,Croatia,EASTERN EUROPE,4494749,56542,79.49,10.32,1.58,6.84,10600,98.5,420.38,26.09,2.27,71.65,,9.61,11.48,0.07,0.308,0.622,0.07,26.09,56542,9.61,Low-Medium (0.498 - 0.659),1/1/1995,0.501792115,,10.32,Croatia,Croatia,Croatia,2.27,11.48,0.558,10600,0.28,45,45,0.308,6.84,98.5,1.58,1,71.65,420.38,79.49,4494749,EASTERN EUROPE,0.622,1995,1995
LM,1995,0.428,1995,Cuba,CUB,Cuba,Cuba,LATIN AMER. & CARIB,11382820,110860,102.68,3.37,-1.58,6.33,2900,97,74.67,33.05,7.6,59.35,2,11.89,7.22,0.055,0.261,0.684,0.055,33.05,110860,11.89,Low-Medium (0.498 - 0.659),1/1/1995,0.68921095,2,3.37,Cuba,Cuba,Cuba,7.6,7.22,0.621,2900,0.428,68,68,0.261,6.33,97,-1.58,1,59.35,74.67,102.68,11382820,LATIN AMER. & CARIB,0.684,1995,1995
H,1995,0.347,1995,Cyprus,CYP,Cyprus,Cyprus,NEAR EAST,784301,9250,84.79,7.01,0.43,7.18,19200,97.6,,7.79,4.44,87.77,3,12.56,7.68,0.037,0.198,0.765,0.037,7.79,9250,12.56,Low-Medium (0.498 - 0.659),1/1/1995,0.529770992,3,7.01,Cyprus,Cyprus,Cyprus,4.44,7.68,0.655,19200,0.347,33,33,0.198,7.18,97.6,0.43,1,87.77,,84.79,784301,NEAR EAST,0.765,1995,1995
H,1995,0.102,1995,Denmark,DNK,Denmark,Denmark,WESTERN EUROPE,5450661,43094,126.48,16.97,2.48,4.56,31100,100,614.6,54.02,0.19,45.79,3,11.13,10.36,0.018,0.246,0.735,0.018,54.02,43094,11.13,Upper-Medium (0.659 - 0.780),1/1/1995,0.135818908,3,16.97,Denmark,Denmark,Denmark,0.19,10.36,0.751,31100,0.102,5,5,0.246,4.56,100,2.48,1,45.79,614.6,126.48,5450661,WESTERN EUROPE,0.735,1995,1995
LM,1995,0.589,1995,Ecuador,ECU,Ecuador,Ecuador,LATIN AMER. & CARIB,13547510,283560,47.78,0.79,-8.58,23.66,3300,92.5,125.6,5.85,4.93,89.22,2,22.29,4.23,0.07,0.312,0.618,0.07,5.85,283560,22.29,Low-Medium (0.498 - 0.659),1/1/1995,1.042477876,2,0.79,Ecuador,Ecuador,Ecuador,4.93,4.23,0.565,3300,0.589,89,89,0.312,23.66,92.5,-8.58,1,89.22,125.6,47.78,13547510,LATIN AMER. & CARIB,0.618,1995,1995
LM,1995,0.386,1995,Estonia,EST,Estonia,Estonia,BALTICS,1324333,45226,29.28,8.39,-3.16,7.87,12300,99.8,333.75,16.04,0.45,83.51,3,10.04,13.25,0.04,0.294,0.666,0.04,16.04,45226,10.04,Upper-Medium (0.659 - 0.780),1/1/1995,0.54674221,3,8.39,Estonia,Estonia,Estonia,0.45,13.25,0.706,12300,0.386,30,30,0.294,7.87,99.8,-3.16,1,83.51,333.75,29.28,1324333,BALTICS,0.666,1995,1995
