Income Bucket,Year-1,GII,Year,Date,Country,Code,Country-1
L,2000,0.45,2000,1/1/00,Mongolia,MNG,Mongolia
..,2000,null,2000,1/1/00,Montenegro,MNE,Montenegro
LM,2000,0.696,2000,1/1/00,Morocco,MAR,Morocco
L,2000,0.645,2000,1/1/00,Mozambique,MOZ,Mozambique
L,2000,null,2000,1/1/00,Myanmar,MMR,Myanmar
LM,2000,0.546,2000,1/1/00,Namibia,NAM,Namibia
L,2000,0.67,2000,1/1/00,Nepal,NPL,Nepal
H,2000,0.096,2000,1/1/00,Netherlands,NLD,Netherlands
L,2000,0.602,2000,1/1/00,Nicaragua,NIC,Nicaragua
L,2000,0.818,2000,1/1/00,Niger,NER,Niger
H,2000,0.109,2000,1/1/00,Norway,NOR,Norway
UM,2000,null,2000,1/1/00,Oman,OMN,Oman
L,2000,null,2000,1/1/00,Pakistan,PAK,Pakistan
UM,2000,0.507,2000,1/1/00,Panama,PAN,Panama
LM,2000,0.663,2000,1/1/00,Papua New Guinea,PNG,Papua New Guinea
LM,2000,0.557,2000,1/1/00,Paraguay,PRY,Paraguay
LM,2000,null,2000,1/1/00,Peru,PER,Peru
LM,2000,0.479,2000,1/1/00,Philippines,PHL,Philippines
UM,2000,0.205,2000,1/1/00,Poland,POL,Poland
H,2000,0.208,2000,1/1/00,Portugal,PRT,Portugal
H,2000,null,2000,1/1/00,Qatar,QAT,Qatar
LM,2000,null,2000,1/1/00,Romania,ROU,Romania
LM,2000,0.423,2000,1/1/00,Russian Federation,RUS,Russian Federation
L,2000,0.552,2000,1/1/00,Rwanda,RWA,Rwanda
LM,2000,0.496,2000,1/1/00,Samoa,WSM,Samoa
UM,2000,null,2000,1/1/00,Saudi Arabia,SAU,Saudi Arabia
L,2000,0.632,2000,1/1/00,Senegal,SEN,Senegal
..,2000,null,2000,1/1/00,Serbia,SRB,Serbia
L,2000,0.695,2000,1/1/00,Sierra Leone,SLE,Sierra Leone
H,2000,0.272,2000,1/1/00,Singapore,SGP,Singapore
H,2000,null,2000,1/1/00,Slovenia,SVN,Slovenia
UM,2000,0.419,2000,1/1/00,South Africa,ZAF,South Africa
H,2000,0.119,2000,1/1/00,Spain,ESP,Spain
L,2000,null,2000,1/1/00,Sudan,SDN,Sudan
LM,2000,null,2000,1/1/00,Suriname,SUR,Suriname
LM,2000,0.661,2000,1/1/00,Swaziland,SWZ,Swaziland
H,2000,0.062,2000,1/1/00,Sweden,SWE,Sweden
H,2000,0.094,2000,1/1/00,Switzerland,CHE,Switzerland
LM,2000,0.55,2000,1/1/00,Syrian Arab Republic,SYR,Syrian Arab Republic
L,2000,0.41,2000,1/1/00,Tajikistan,TJK,Tajikistan
L,2000,null,2000,1/1/00,Tanzania,TZA,Tanzania
LM,2000,0.397,2000,1/1/00,Thailand,THA,Thailand
L,2000,0.665,2000,1/1/00,Togo,TGO,Togo
LM,2000,0.671,2000,1/1/00,Tonga,TON,Tonga
UM,2000,null,2000,1/1/00,Trinidad and Tobago,TTO,Trinidad and Tobago
LM,2000,0.427,2000,1/1/00,Tunisia,TUN,Tunisia
UM,2000,0.589,2000,1/1/00,Turkey,TUR,Turkey
LM,2000,null,2000,1/1/00,Turkmenistan,TKM,Turkmenistan
L,2000,0.643,2000,1/1/00,Uganda,UGA,Uganda
L,2000,0.384,2000,1/1/00,Ukraine,UKR,Ukraine
H,2000,0.609,2000,1/1/00,United Arab Emirates,ARE,United Arab Emirates
H,2000,0.215,2000,1/1/00,United Kingdom,GBR,United Kingdom
H,2000,null,2000,1/1/00,United States,USA,United States
UM,2000,0.389,2000,1/1/00,Uruguay,URY,Uruguay
L,2000,null,2000,1/1/00,Uzbekistan,UZB,Uzbekistan
L,2000,0.347,2000,1/1/00,VietNam,VNM,Vietnam
L,2000,0.626,2000,1/1/00,Zambia,ZMB,Zambia
L,2000,0.631,2000,1/1/00,Zimbabwe,ZWE,Zimbabwe
L,2005,0.739,2005,1/1/05,Afghanistan,AFG,Afghanistan
LM,2005,0.332,2005,1/1/05,Albania,ALB,Albania
LM,2005,0.561,2005,1/1/05,Algeria,DZA,Algeria
UM,2005,0.374,2005,1/1/05,Argentina,ARG,Argentina
LM,2005,0.406,2005,1/1/05,Armenia,ARM,Armenia
H,2005,0.139,2005,1/1/05,Australia,AUS,Australia
H,2005,0.118,2005,1/1/05,Austria,AUT,Austria
LM,2005,0.324,2005,1/1/05,Azerbaijan,AZE,Azerbaijan
H,2005,0.358,2005,1/1/05,Bahamas,BHS,Bahamas
H,2005,0.331,2005,1/1/05,Bahrain,BHR,Bahrain
L,2005,0.591,2005,1/1/05,Bangladesh,BGD,Bangladesh
UM,2005,0.345,2005,1/1/05,Barbados,BRB,Barbados
LM,2005,null,2005,1/1/05,Belarus,BLR,Belarus
H,2005,0.104,2005,1/1/05,Belgium,BEL,Belgium
UM,2005,0.464,2005,1/1/05,Belize,BLZ,Belize
L,2005,0.656,2005,1/1/05,Benin,BEN,Benin
L,2005,null,2005,1/1/05,Bhutan,BTN,Bhutan
LM,2005,0.559,2005,1/1/05,Bolivia,BOL,Bolivia
LM,2005,null,2005,1/1/05,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina
UM,2005,0.523,2005,1/1/05,Botswana,BWA,Botswana
LM,2005,0.469,2005,1/1/05,Brazil,BRA,Brazil
LM,2005,0.251,2005,1/1/05,Bulgaria,BGR,Bulgaria
L,2005,0.527,2005,1/1/05,Burundi,BDI,Burundi
L,2005,0.561,2005,1/1/05,Cambodia,KHM,Cambodia
LM,2005,0.661,2005,1/1/05,Cameroon,CMR,Cameroon
H,2005,0.132,2005,1/1/05,Canada,CAN,Canada
L,2005,0.684,2005,1/1/05,Central African Republic,CAF,Central African Republic
L,2005,null,2005,1/1/05,Chad,TCD,Chad
UM,2005,0.386,2005,1/1/05,Chile,CHL,Chile
LM,2005,0.228,2005,1/1/05,China,CHN,China
LM,2005,0.484,2005,1/1/05,Colombia,COL,Colombia
L,2005,0.691,2005,1/1/05,Côte d'Ivoire,CIV,Côte d'Ivoire
UM,2005,0.164,2005,1/1/05,Croatia,HRV,Croatia
LM,2005,0.343,2005,1/1/05,Cuba,CUB,Cuba
H,2005,0.14,2005,1/1/05,Cyprus,CYP,Cyprus
UM,2005,0.153,2005,1/1/05,Czech Republic,CZE,Czech Republic
H,2005,null,2005,1/1/05,Denmark,DNK,Denmark
LM,2005,0.469,2005,1/1/05,Dominican Republic,DOM,Dominican Republic
LM,2005,0.454,2005,1/1/05,Ecuador,ECU,Ecuador
UM,2005,0.214,2005,1/1/05,Estonia,EST,Estonia
L,2005,0.611,2005,1/1/05,Ethiopia,ETH,Ethiopia
LM,2005,0.409,2005,1/1/05,Fiji,FJI,Fiji
H,2005,0.088,2005,1/1/05,Finland,FIN,Finland
H,2005,0.156,2005,1/1/05,France,FRA,France
UM,2005,0.574,2005,1/1/05,Gabon,GAB,Gabon
LM,2005,0.388,2005,1/1/05,Georgia,GEO,Georgia
H,2005,0.117,2005,1/1/05,Germany,DEU,Germany
L,2005,0.573,2005,1/1/05,Ghana,GHA,Ghana
H,2005,0.179,2005,1/1/05,Greece,GRC,Greece
LM,2005,0.57,2005,1/1/05,Guatemala,GTM,Guatemala
LM,2005,0.527,2005,1/1/05,Guyana,GUY,Guyana
L,2005,0.579,2005,1/1/05,Haiti,HTI,Haiti
LM,2005,0.515,2005,1/1/05,Honduras,HND,Honduras
UM,2005,0.26,2005,1/1/05,Hungary,HUN,Hungary
H,2005,0.125,2005,1/1/05,Iceland,ISL,Iceland
L,2005,0.619,2005,1/1/05,India,IND,India
LM,2005,0.533,2005,1/1/05,Indonesia,IDN,Indonesia
LM,2005,null,2005,1/1/05,Iraq,IRQ,Iraq
H,2005,0.192,2005,1/1/05,Ireland,IRL,Ireland
H,2005,0.173,2005,1/1/05,Israel,ISR,Israel
H,2005,0.175,2005,1/1/05,Italy,ITA,Italy
LM,2005,0.466,2005,1/1/05,Jamaica,JAM,Jamaica
H,2005,0.148,2005,1/1/05,Japan,JPN,Japan
LM,2005,0.557,2005,1/1/05,Jordan,JOR,Jordan
LM,2005,0.36,2005,1/1/05,Kazakhstan,KAZ,Kazakhstan
L,2005,0.654,2005,1/1/05,Kenya,KEN,Kenya
H,2005,0.374,2005,1/1/05,Kuwait,KWT,Kuwait
UM,2005,0.217,2005,1/1/05,Latvia,LVA,Latvia
UM,2005,null,2005,1/1/05,Lebanon,LBN,Lebanon
LM,2005,0.585,2005,1/1/05,Lesotho,LSO,Lesotho
L,2005,0.676,2005,1/1/05,Liberia,LBR,Liberia
UM,2005,0.268,2005,1/1/05,Libya,LBY,Libya
UM,2005,0.185,2005,1/1/05,Lithuania,LTU,Lithuania
H,2005,0.156,2005,1/1/05,Luxembourg,LUX,Luxembourg
L,2005,0.655,2005,1/1/05,Malawi,MWI,Malawi
UM,2005,0.324,2005,1/1/05,Malaysia,MYS,Malaysia
LM,2005,0.42,2005,1/1/05,Maldives,MDV,Maldives
L,2005,0.723,2005,1/1/05,Mali,MLI,Mali
H,2005,0.309,2005,1/1/05,Malta,MLT,Malta
L,2005,null,2005,1/1/05,Mauritania,MRT,Mauritania
UM,2005,0.369,2005,1/1/05,Mauritius,MUS,Mauritius
UM,2005,0.431,2005,1/1/05,Mexico,MEX,Mexico
LM,2005,0.292,2005,1/1/05,Moldova,MDA,Moldova
L,2005,0.41,2005,1/1/05,Mongolia,MNG,Mongolia
..,2005,null,2005,1/1/05,Montenegro,MNE,Montenegro
LM,2005,0.58,2005,1/1/05,Morocco,MAR,Morocco
L,2005,0.638,2005,1/1/05,Mozambique,MOZ,Mozambique
L,2005,null,2005,1/1/05,Myanmar,MMR,Myanmar
LM,2005,0.525,2005,1/1/05,Namibia,NAM,Namibia
L,2005,0.653,2005,1/1/05,Nepal,NPL,Nepal
H,2005,0.082,2005,1/1/05,Netherlands,NLD,Netherlands
LM,2005,0.541,2005,1/1/05,Nicaragua,NIC,Nicaragua
L,2005,0.73,2005,1/1/05,Niger,NER,Niger
H,2005,0.085,2005,1/1/05,Norway,NOR,Norway
UM,2005,0.387,2005,1/1/05,Oman,OMN,Oman
L,2005,0.595,2005,1/1/05,Pakistan,PAK,Pakistan
UM,2005,0.472,2005,1/1/05,Panama,PAN,Panama
L,2005,0.682,2005,1/1/05,Papua New Guinea,PNG,Papua New Guinea
LM,2005,0.537,2005,1/1/05,Paraguay,PRY,Paraguay
LM,2005,0.456,2005,1/1/05,Peru,PER,Peru
LM,2005,0.467,2005,1/1/05,Philippines,PHL,Philippines
UM,2005,0.164,2005,1/1/05,Poland,POL,Poland
H,2005,0.182,2005,1/1/05,Portugal,PRT,Portugal
