IncomeBucket,Year-1,GII,Year,Country,Code,Region,EducationIndexBucket,Date,GIvsEI,Country-3,Country-4,EI,Literacy-1,Net migration-1,Number of Records,Other-1,Phones-1,Pop. Density-1,Year-2,Year-3,FedPercent,GDPPercent,Year-4,HDI Rank (2015),Country-1,Region-1
UM,1995,0.606,1995,Gabon,GAB,SUB-SAHARAN AFRICA,Low-Medium (0.498 - 0.659),1/1/95,1.190569745,Gabon,Gabon,0.509,63.2,0,1,98.08,27.44,5.32,1995,1995,9.6,null,1995,109,Gabon,SUB-SAHARAN AFRICA
L,1995,0.426,1995,Georgia,GEO,C.W. OF IND. STATES,,1/1/95,,Georgia,Georgia,,99,-4.7,1,84.7,146.56,66.88,1995,1995,6.9,null,1995,70,Georgia,C.W. OF IND. STATES
H,1995,0.156,1995,Germany,DEU,WESTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/95,0.205533597,Germany,Germany,0.759,99,2.18,1,65.56,667.85,230.86,1995,1995,25.5,4.4,1995,4,Germany,WESTERN EUROPE
L,1995,0.626,1995,Ghana,GHA,SUB-SAHARAN AFRICA,"Low (
0.206 - 0.498)",1/1/95,1.55721393,Ghana,Ghana,0.402,74.8,-0.64,1,74.07,14.35,93.58,1995,1995,9,null,1995,139,Ghana,SUB-SAHARAN AFRICA
UM,1995,0.283,1995,Greece,GRC,WESTERN EUROPE,Low-Medium (0.498 - 0.659),1/1/95,0.442879499,Greece,Greece,0.639,97.5,2.35,1,70.12,589.72,81.01,1995,1995,6.3,null,1995,29,Greece,WESTERN EUROPE
LM,1995,0.596,1995,Guatemala,GTM,LATIN AMER. & CARIB,"Low (
0.206 - 0.498)",1/1/95,1.916398714,Guatemala,Guatemala,0.311,70.6,-1.67,1,82.43,92.09,112.9,1995,1995,12.5,1.6,1995,125,Guatemala,LATIN AMER. & CARIB
L,1995,,1995,Guyana,GUY,LATIN AMER. & CARIB,Low-Medium (0.498 - 0.659),1/1/95,,Guyana,Guyana,0.533,98.8,-2.07,1,97.41,143.5,3.57,1995,1995,null,3.6,1995,127,Guyana,LATIN AMER. & CARIB
L,1995,,1995,Honduras,HND,LATIN AMER. & CARIB,"Low (
0.206 - 0.498)",1/1/95,,Honduras,Honduras,0.381,76.2,-1.99,1,87.23,67.48,65.36,1995,1995,null,3.6,1995,130,Honduras,LATIN AMER. & CARIB
UM,1995,0.322,1995,Hungary,HUN,EASTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/95,0.459343795,Hungary,Hungary,0.701,99.4,0.86,1,47.85,336.23,107.29,1995,1995,11.4,4.9,1995,43,Hungary,EASTERN EUROPE
H,1995,0.184,1995,Iceland,ISL,WESTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/95,0.249322493,Iceland,Iceland,0.738,99.9,2.38,1,99.93,647.65,2.91,1995,1995,25.4,4.7,1995,9,Iceland,WESTERN EUROPE
L,1995,0.687,1995,India,IND,ASIA (EX. NEAR EAST),"Low (
0.206 - 0.498)",1/1/95,1.997093023,India,India,0.344,59.5,-0.07,1,42.86,45.42,333.18,1995,1995,7.3,null,1995,131,India,ASIA (EX. NEAR EAST)
LM,1995,0.578,1995,Indonesia,IDN,ASIA (EX. NEAR EAST),"Low (
0.206 - 0.498)",1/1/95,1.376190476,Indonesia,Indonesia,0.42,87.9,0,1,81.45,52.03,127.88,1995,1995,11.4,1,1995,113,Indonesia,ASIA (EX. NEAR EAST)
H,1995,0.202,1995,Ireland,IRL,WESTERN EUROPE,Upper-Medium (0.659 - 0.780),1/1/95,0.284507042,Ireland,Ireland,0.71,98,4.99,1,84.77,500.46,57.8,1995,1995,13.7,4.9,1995,8,Ireland,WESTERN EUROPE
H,1995,0.244,1995,Israel,ISR,NEAR EAST,Upper-Medium (0.659 - 0.780),1/1/95,0.319790301,Israel,Israel,0.763,95.4,0.68,1,79.44,462.26,305.83,1995,1995,7.5,null,1995,19,Israel,NEAR EAST
